fecha,car purchase amount,age,annual Salary,credit card debt,net worth,gender
2020-01-01,35321.45877,41.8517198,62812.09301,11609.38091,238961.2505,0
2020-01-02,45115.52566,40.87062335,66646.89292,9572.957136,530973.9078,0
2020-01-03,42925.70921,43.15289747,53798.55112,11160.35506,638467.1773,1
2020-01-04,67422.36313,58.27136945,79370.03798,14426.16485,548599.0524,1
2020-01-05,55915.46248,57.31374945,59729.1513,5358.712177,560304.0671,1
2020-01-06,56611.99784,56.82489312,68499.85162,14179.47244,428485.3604,1
2020-01-07,28925.70549,46.60731485,39814.522,5958.460188,326373.1812,1
2020-01-08,47434.98265,50.19301623,51752.23445,10985.69656,629312.4041,1
2020-01-09,48013.6141,46.58474463,58139.2591,3440.823799,630059.0274,0
2020-01-10,38189.50601,43.32378156,53457.10132,12884.07868,476643.3544,1
2020-01-11,59045.51309,50.12992275,73348.70745,8270.707359,612738.6171,1
2020-01-12,42288.81046,53.18015845,55421.65733,10014.96929,293862.5123,1
2020-01-13,28700.0334,44.3964937,37336.3383,10218.32092,430907.1673,0
2020-01-14,49258.87571,48.49651504,68304.47298,9466.995128,420322.0702,0
2020-01-15,49510.03356,55.24486604,72776.00382,10597.63814,146344.8965,0
2020-01-16,53017.26723,53.28976788,64662.30061,11326.03434,481433.4324,1
2020-01-17,41814.72067,44.74219952,63259.87837,11495.54999,370356.2223,0
2020-01-18,43901.71244,48.12708462,52682.06401,12514.52029,549443.5886,1
2020-01-19,44633.99241,51.85347374,54503.14423,7377.820914,431098.9998,1
2020-01-20,54827.52403,58.74184223,55368.23716,13272.94647,566022.1306,0
2020-01-21,51130.95379,51.90047138,63435.86304,11878.03779,480588.2345,1
2020-01-22,43402.31525,48.08111958,64347.34531,10905.36628,307226.0977,0
2020-01-23,47240.86004,45.53184183,65176.69055,7698.552234,497526.4566,1
2020-01-24,46635.49432,47.02228427,52027.63837,11960.85377,688466.0503,1
2020-01-25,45078.40193,39.94299532,69612.0123,8125.598993,499086.3442,0
2020-01-26,44387.58412,52.57744084,53065.57175,17805.57607,429440.3297,0
2020-01-27,37161.55393,28.0096755,82842.53385,13102.15805,315775.3207,0
2020-01-28,49091.97185,55.63031699,61388.62709,14270.00731,341691.9337,0
2020-01-29,58350.31809,46.12403587,100000.0,17452.92179,188032.0778,1
2020-01-30,43994.35972,40.24532734,62891.86556,12522.94052,583230.976,1
2020-01-31,17584.56963,33.48313022,39627.1248,9371.511071,319837.6593,1
2020-02-01,44650.36073,40.38546326,68859.56489,13417.02027,486069.073,1
2020-02-02,66363.89316,51.31671367,82358.22683,8092.475103,655934.4666,1
2020-02-03,53489.46214,51.4805088,67904.39895,11417.30952,487435.964,0
2020-02-04,39810.34817,46.31841716,65311.68225,7988.753685,215673.5384,0
2020-02-05,51612.14311,50.50341115,59593.2624,12252.73058,612242.7755,0
2020-02-06,38978.67458,49.85387098,47460.54809,7405.534271,430624.8142,1
2020-02-07,10092.22509,22.00038672,43131.78411,10917.14094,326742.7352,1
2020-02-08,35928.52404,50.51602163,52263.69806,8838.759509,213040.9606,0
2020-02-09,54823.19221,48.04729589,80959.5331,4499.921096,379749.9152,1
2020-02-10,45805.67186,42.44978638,66417.66597,9183.327621,513340.0097,0
2020-02-11,41567.47033,46.26908486,58457.41492,12491.01273,410655.9947,1
2020-02-12,28031.20985,37.58459582,50571.45969,13338.32852,348833.8403,0
2020-02-13,27815.73813,38.7730024,50943.16256,10816.8855,299734.1278,1
2020-02-14,68678.4352,61.22413159,79792.13096,14245.53319,497950.2933,1
2020-02-15,68925.09447,55.27514264,70787.27764,10155.34095,853913.8532,0
2020-02-16,34215.7615,42.22589031,56098.50773,11675.28496,320228.6451,1
2020-02-17,37843.46619,51.16813904,57478.37922,2230.096344,158979.7102,0
2020-02-18,37883.24231,41.44430677,60181.40633,7094.896557,390312.1715,1
2020-02-19,48734.35708,40.08331711,74445.08168,7915.758178,527420.7269,0
2020-02-20,27187.23914,41.1638484,38406.7789,11023.00268,451846.1995,1
2020-02-21,63738.39065,55.78242299,64616.6881,12378.54089,779925.7892,0
2020-02-22,48266.75516,46.23366001,68107.93144,7813.602657,455609.1429,0
2020-02-23,46381.13111,36.67318264,72471.81532,11216.88676,583523.0762,1
2020-02-24,31978.9799,52.46564908,35069.41886,1851.979839,353757.5057,1
2020-02-25,48100.29052,57.12191756,52422.94691,6998.46562,438067.7506,0
2020-02-26,47380.91224,33.81629802,84467.78988,7772.444847,468238.7915,1
2020-02-27,41425.00116,43.03088068,51419.50777,11331.20447,636407.1148,1
2020-02-28,38147.81018,50.16597776,46609.51626,7592.019748,409419.5797,1
2020-02-29,32737.80177,42.24181684,55207.45679,9976.434857,286062.5162,1
2020-03-01,37348.13737,42.05808927,46689.4159,7829.565502,615765.9289,1
2020-03-02,47483.85316,42.09853578,71847.2544,4225.328117,476088.3996,0
2020-03-03,49730.53339,54.55868922,69236.68608,9842.842611,242495.9886,0
2020-03-04,40093.61981,53.15575545,54006.77851,15189.08845,246321.8916,0
2020-03-05,42297.5062,53.05769018,47228.35999,9046.182396,456634.2073,0
2020-03-06,52954.93121,43.29935025,70187.50328,6841.540577,662176.4851,0
2020-03-07,48104.11184,55.27030631,62262.94845,11785.87919,301026.2206,0
2020-03-08,43680.91327,42.69528911,59195.82899,8634.376791,573054.3808,1
2020-03-09,52707.96816,57.34721558,48716.67271,10886.91711,662382.6623,1
